,id,seller,area_total,area_kitchen,area_living,floor,rooms,layout,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,street,address,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size
17221,17227,4,65.0,15.0,44.0,12,2,2,3.2,0,1,0,1,0,0,2,2,6685,0,55.727693,37.535359,7,Воробьевское шоссе,4,2017,2,16,True,True,True,0,True,0,0.0447921470456107,-1.7260189435615916,32.5
19928,19935,4,33.02,6.0,16.0,4,1,3,2.8,1,0,1,0,0,0,2,1,4703,1,55.643846,37.387577,7,м. Солнцево,Лучи ЖК,2013,2,23,False,True,True,3,False,4,0.2124081220192118,-2.0123520604936616,33.02
20579,20586,4,37.6,8.0,13.0,3,1,3,3.0,1,0,1,0,0,0,1,1,4670,0,55.730948,37.64401,0,Шлюзовая набережная,2А,2017,2,7,True,True,True,0,True,4,0.0645018668891374,1.6277225972983183,37.6
20082,20089,1,86.0,10.7,41.0,12,3,2,2.5,0,1,2,2,0,0,1,1,3379,0,55.884903,37.538898,1,мкр. 18-й,К1824,1995,2,14,True,True,True,1,True,0,0.155702604335899,-0.264565214962021,28.666666666666668
2906,2908,1,37.0,8.5,17.0,14,1,3,2.8,0,1,1,0,0,1,1,2,2205,0,55.67160500000001,37.504079,7,проспект Вернадского,61к2,2017,7,14,False,True,True,1,False,4,0.09836640105544071,-2.266067127963912,37.0
12327,12331,1,44.7,7.0,29.0,7,2,1,2.8,0,1,0,1,0,1,1,2,7244,0,55.606929,37.71018,5,Домодедовская улица,24К1,1975,3,12,False,True,True,3,False,0,0.1826260890771764,2.3450489878112544,22.35
17714,17720,1,35.3,9.6,19.5,4,1,3,2.7,1,0,1,0,0,1,1,1,9288,0,55.803049,37.760827,3,Сиреневый бульвар,1К2,1970,3,14,True,True,True,3,True,0,0.19370460074650275,1.2097260295478085,35.3
4025,4028,1,44.0,7.0,30.0,1,2,1,2.8,1,0,1,0,1,0,2,1,3084,0,55.748518,37.813881,3,Союзный проспект,14/9,1968,3,9,False,True,False,1,False,0,0.2346803971746554,1.5115315882272704,22.0
15228,15233,1,51.5,9.8,30.3,5,2,1,2.8,0,1,1,0,0,1,2,1,1088,0,55.752951,37.713072,4,шоссе Энтузиастов,11АК1,2000,0,17,False,True,False,3,False,0,0.13471269639874225,1.4342821022174164,25.75
18677,18683,1,39.8,8.1,18.6,7,1,3,2.7,0,1,2,2,0,1,1,1,2268,0,55.754213,37.703649,4,мкр. 5-й,к516,1969,0,14,True,True,True,3,True,0,0.12557465286691294,1.4141123284825095,39.8
6324,6327,3,61.7,12.6,30.7,6,2,3,2.89,1,1,1,0,1,0,4,1,5540,1,55.554695,37.513916,11,Скандинавия ЖК,4.2,2019,7,14,False,True,True,0,False,4,0.1915418594103267,-2.791496315966316,30.85
3806,3809,0,36.3,7.3,17.7,9,1,3,2.8,1,0,1,0,0,1,0,2,2996,0,55.73767900000001,37.829826,3,Вешняковская улица,9к1,1991,3,22,False,True,True,3,True,0,0.2502321071026266,1.5585628507893559,36.3
13141,13145,3,38.65,10.0,16.8,8,1,3,2.7,0,1,2,2,0,1,4,1,6703,1,55.52117,37.354734,11,Новые Ватутинки центральный мкр,к2/3,2022,2,16,True,True,True,3,False,1,0.3100490038822408,-2.3301222367415053,38.65
9975,9979,2,35.0,10.0,20.0,4,1,3,2.48,1,0,1,0,0,1,1,1,2575,0,55.71964200000001,37.801071,4,улица Хлобыстова,8К2,1984,4,16,False,True,False,3,True,0,0.22196416805027672,1.6383173751578877,35.0
2090,2090,3,144.94,10.7,30.9,20,3,3,2.8,0,0,2,2,0,0,4,1,1274,1,55.847973,37.628882,2,проезд Серебрякова,2Ак3,2020,7,24,False,True,True,0,False,4,0.12359958759154743,0.410012652033734,48.31333333333333
11880,11884,3,56.4,15.8,26.8,11,2,3,2.8,1,1,1,0,0,0,4,1,5435,1,55.719896,37.692663,4,Метрополия ЖК,2,2021,4,30,False,True,True,0,True,0,0.11400492282470821,1.7002915569365993,28.2
16313,16319,3,110.9,11.8,58.0,14,3,3,2.8,0,1,2,2,0,1,4,1,7638,1,55.659231000000005,37.560835,6,Херсонская улица,43,2012,2,23,True,True,True,2,True,3,0.07769027454453926,-2.8974768598472407,36.96666666666667
20043,20050,1,122.0,25.0,90.0,2,3,2,3.1,2,0,0,1,0,1,3,2,9196,0,55.756786,37.418362,7,улица Крылатские Холмы,33к1,2008,2,34,False,True,True,0,False,0,0.1627672806588928,-1.4341764618188295,40.666666666666664
16048,16054,3,36.0,8.1,18.5,14,1,3,2.8,1,0,2,2,0,0,4,1,1130,1,55.776335,37.736905,3,Вольная улица,28/4к3,2020,3,25,False,True,True,0,True,4,0.16273049123062233,1.3115447677904675,36.0
1923,1923,3,51.1,10.7,28.5,2,2,3,2.72,0,2,1,0,0,0,4,1,8007,1,55.802857,37.598609,2,Складочная улица,6к7,2021,2,14,False,True,True,1,False,4,0.0708339022612823,0.2715054810592373,25.55
11325,11329,2,45.6,6.0,30.0,7,2,1,2.8,0,0,2,2,0,0,1,1,942,0,55.811138,37.808689,3,Щелковское шоссе,79К1,1971,3,9,False,True,False,1,False,0,0.24151877720563134,1.2484120388019602,22.8
12284,12288,4,198.0,30.0,150.0,10,5,1,3.0,2,0,1,1,0,0,3,2,2922,0,55.655214,37.47315,7,проспект Вернадского,92,2003,2,12,True,True,True,2,True,0,0.13281288759260867,-2.2116284439709295,39.6
1116,1116,4,55.0,18.0,24.0,6,1,3,2.8,0,0,1,0,0,0,0,2,7818,0,55.77919,37.574309,1,Верхняя улица,20к1,2019,2,24,True,True,True,0,True,4,0.04488656055183835,-0.11843268637702807,55.0
732,732,0,57.1,10.0,35.6,9,2,3,2.8,0,1,1,0,0,1,2,1,1208,0,55.847705000000005,37.370581,8,Пятницкое шоссе,21,2013,3,25,True,True,True,0,True,0,0.237661348292075,-1.0748853521528121,28.55
5160,5163,3,43.7,10.7,30.9,17,1,3,2.8,0,0,0,1,0,0,4,1,5379,1,55.600893000000006,37.724077,5,Каширское шоссе,65К1,2018,2,20,True,True,True,0,True,0,0.1968560341089893,2.3176085837460576,43.7
2785,2786,4,155.0,10.7,30.9,3,4,3,3.0,0,3,1,0,0,0,3,1,3960,0,55.715601,37.526268,7,Мичуринский проспект,6К1,2003,2,16,True,True,True,1,True,3,0.056632936141187536,-1.9132418958619615,38.75
22004,22012,2,67.0,9.0,44.0,4,3,3,2.64,0,1,1,1,2,0,2,2,9292,0,55.59686899999999,37.593704,5,Кировоградская улица,44К2,1971,3,12,False,True,True,3,True,0,0.13846774956120778,3.039649641173124,22.333333333333332
11125,11129,4,202.0,25.0,130.0,8,6,1,2.8,2,0,2,2,1,0,2,1,5400,0,55.722142000000005,37.618569,0,Мытная улица,7с1,2013,0,14,True,True,True,2,True,0,0.0409053423696026,1.8807280422581778,33.666666666666664
19578,19585,0,74.0,14.0,41.0,15,3,1,2.8,0,1,1,0,1,0,1,1,872,0,55.700101,37.941981,4,улица Вертолетчиков,2Ак3,2018,2,16,True,True,True,3,True,0,0.3640085973812172,1.6657633298544663,24.666666666666668
8706,8710,2,53.0,6.5,34.7,8,3,1,2.8,1,0,1,0,1,0,1,1,6693,0,55.722497,37.816711,3,улица Молдагуловой,16К2,1970,3,9,True,True,True,1,True,0,0.23740800013760993,1.6218735432058362,17.666666666666668
689,689,3,69.84,10.7,30.9,7,3,3,2.8,0,0,2,2,1,0,4,1,8204,0,55.860746,37.372431,8,Муравская улица,42к1,2019,2,25,True,True,True,0,False,0,0.24255417590534867,-1.023945566018575,23.28
18304,18310,4,130.0,25.0,68.0,2,3,3,3.0,2,0,1,0,1,0,3,2,9167,0,55.757273,37.649732,0,Казарменный переулок,3,2009,2,11,True,True,True,0,True,0,0.07368841730809138,1.258289558859814,43.333333333333336
22390,22398,0,74.0,10.7,30.9,1,3,3,2.8,0,0,2,2,0,0,4,1,6923,0,55.497521,36.919941,10,улица Десятинная,13,2019,7,3,True,False,False,3,False,4,0.7009861392310944,-1.915835262246984,24.666666666666668
12503,12507,2,36.8,9.0,19.0,3,1,3,2.64,0,0,2,2,1,0,1,1,1195,0,55.84768,37.352857,8,переулок 3-й Митинский,4,1993,3,17,False,True,True,1,True,0,0.25337946973962017,-1.1082630532077173,36.8
3481,3484,4,182.5,17.2,30.9,3,3,3,2.8,2,1,1,1,1,1,2,2,880,0,55.740436,37.601708,0,1-й Зачатьевский переулок,8С3,2011,2,7,False,True,False,0,False,4,0.02284855792396722,1.3133220298143822,60.833333333333336
14141,14146,1,60.2,10.7,33.0,2,2,1,2.8,0,1,2,2,0,0,4,1,6148,0,55.701262,37.651583,5,Автозаводская улица,23Бк2,2019,7,24,False,True,True,0,False,4,0.07932433366595838,2.0047924662123116,30.1
14455,14460,4,60.1,6.0,48.2,9,3,1,2.64,0,1,0,1,0,1,1,1,25,0,55.813066000000006,37.64471,2,Маломосковская улица,8,1969,3,9,False,True,False,3,True,0,0.10194007392258976,0.6926578787966284,20.033333333333335
3495,3498,4,198.8,10.7,30.9,4,6,3,3.4,2,0,1,1,2,0,4,1,8316,0,55.77486700000001,37.601609,0,улица Фадеева,4А,2013,2,10,True,True,True,0,True,0,0.04586756468001109,0.5001565389099115,33.13333333333333
22730,22738,4,55.0,8.0,36.0,3,2,1,3.0,0,1,0,1,0,0,1,2,804,0,55.74598,37.784955,3,Перовская улица,45,1956,0,5,True,False,False,3,False,0,0.2056564907556672,1.5155200734543843,27.5
17759,17765,1,43.0,6.0,29.0,1,2,1,2.6,0,1,1,0,0,0,2,1,791,0,55.803757,37.721319,3,Знаменская улица,39,1966,0,5,True,False,False,3,True,0,0.15767345526745113,1.1168721385611153,21.5
4519,4522,0,48.0,16.0,19.0,3,1,3,2.8,1,0,1,0,0,1,0,1,1340,0,55.559746,37.575639,6,Феодосийская улица,7к5,2018,2,20,True,True,True,1,False,1,0.17491700834697946,-3.1188735414349464,48.0
2466,2466,4,696.0,18.1,338.0,8,6,1,2.8,4,0,1,1,3,2,0,2,6720,0,55.714186,37.477031,7,Староволынская улица,12к2,2010,2,9,False,True,True,0,True,1,0.1045966033268414,-1.767400125597961,116.0
22899,22907,2,32.1,6.0,20.0,1,1,3,2.64,1,0,2,2,0,0,1,2,1435,0,55.633475,37.667968,5,Кавказский бульвар,14,1966,3,5,True,False,False,3,False,0,0.13430023596048946,2.423573096852279,32.1
2197,2197,1,32.0,7.3,16.9,1,1,3,2.85,0,1,2,2,0,0,1,1,4341,0,55.850626,37.657790000000006,2,улица Амундсена,3К1,1955,0,4,True,False,False,3,False,0,0.1398913502991758,0.592990642818046,32.0
3613,3616,4,38.7,11.6,15.8,7,1,3,2.8,1,0,2,2,1,0,1,1,2378,0,55.80781,37.789896,3,5-я Парковая улица,62Б,2017,3,18,True,False,False,3,True,0,0.2226571113963268,1.235847028145137,38.7
9532,9536,0,40.0,10.5,20.1,9,1,3,2.8,0,1,0,1,1,0,2,1,8784,0,55.6572,37.763594,4,Новомарьинская улица,15,1998,3,18,False,True,True,1,True,0,0.1996063011439559,1.969097247669737,40.0
18510,18516,4,56.5,14.6,31.3,19,2,3,2.8,1,0,2,2,0,0,4,1,5782,1,55.707426,37.934031,4,Квартал Некрасовка ЖК,к8,2020,2,23,False,True,True,1,False,4,0.35545996637131877,1.6473688277911058,28.25
18147,18153,3,42.9,16.0,15.3,3,1,3,2.65,0,1,1,0,1,0,4,1,5633,1,55.72561,37.775397,4,Саларьево Парк ЖК,31,2022,3,16,False,True,True,1,False,4,0.1959914952314501,1.6167730269911018,42.9
3702,3705,0,51.3,7.6,31.1,1,2,1,2.8,0,1,1,0,0,1,3,1,7925,2,55.769575,37.831641,3,Саянская улица,7К2,2013,3,12,False,True,False,3,True,0,0.2544411656664501,1.4329725254853767,25.65
18532,18538,1,46.3,20.0,19.4,4,1,3,3.2,0,1,1,0,0,1,0,1,6085,1,55.751503,37.699463,4,м. Авиамоторная,Символ ЖК,2019,2,22,True,True,True,3,False,4,0.12103397013383758,1.4308324139412254,46.3
23129,23137,3,80.41,12.2,47.5,6,3,3,2.7,0,2,2,2,0,1,4,1,6703,1,55.52117,37.354734,11,Новые Ватутинки центральный мкр,к2/3,2022,2,16,True,True,True,3,False,1,0.3100490038822408,-2.3301222367415053,26.80333333333333
17262,17268,0,52.0,9.0,30.2,2,2,1,2.64,0,1,1,1,0,0,1,2,7417,0,55.86697,37.569036,1,мкр. 12-й,к1205,1982,3,12,True,True,False,3,True,0,0.13277406264195024,-0.0797432481257839,26.0
10639,10643,4,52.0,11.4,20.2,5,1,3,2.8,0,1,1,0,0,1,4,1,936,1,55.715824,37.388879,7,Барвихинская улица,6,2020,2,10,False,True,True,0,False,4,0.19165730413484097,-1.669013916023061,52.0
15459,15464,4,131.0,17.0,67.0,5,4,3,2.8,0,3,0,1,0,0,4,1,432,1,55.783357,37.599381,0,Новослободская улица,24,2019,7,10,True,False,False,0,True,4,0.052595550721474205,0.38532093477517987,32.75
1219,1219,3,51.5,8.9,26.4,23,2,3,2.8,0,2,0,1,1,1,4,1,6512,1,55.854987,37.559155,1,Дмитровское шоссе,71к1,2021,2,24,False,True,True,1,True,0,0.12209521723868048,-0.16834869316506043,25.75
884,884,0,45.0,5.5,29.0,5,2,1,2.64,0,1,1,0,1,0,2,2,7031,0,55.844713,37.430202,8,улица Фабрициуса,44К2,1970,4,12,False,True,False,3,True,0,0.18559221608512128,-0.9357561515179909,22.5
19324,19331,0,109.4,10.7,30.9,2,4,3,2.8,1,1,1,0,1,0,0,1,1233,0,55.8699,37.687407,2,Шушенская улица,8,2013,7,21,False,False,True,3,False,4,0.17297654239517127,0.6727938176937104,27.35
22559,22567,4,79.6,29.2,27.2,17,2,3,2.8,1,1,2,2,0,0,4,1,1352,1,55.78686999999999,37.494979,8,3-я Хорошевская улица,7к2,2019,2,22,False,True,True,1,False,0,0.09946423721261204,-1.0176865299016558,39.8
9413,9417,4,119.0,17.6,67.0,12,4,1,3.3,0,0,1,1,0,0,3,1,2000,0,55.710839,37.605068,5,улица Орджоникидзе,1,2017,2,18,True,True,True,0,True,0,0.034834050399549586,2.322155842467087,29.75
4752,4755,1,39.0,8.5,21.0,9,1,3,2.8,0,1,1,0,0,1,1,2,1002,0,55.552581,37.558364000000005,6,Изюмская улица,22,2002,3,9,False,True,True,3,True,0,0.1832728157762428,-3.025391505064252,39.0
16423,16429,4,210.0,10.7,168.0,5,4,3,2.8,1,1,2,2,0,0,2,1,6836,0,55.72746,37.479977000000005,7,Давыдковская улица,3,2004,7,43,True,True,True,0,True,4,0.09989239862037283,-1.6425135703364317,52.5
11834,11838,4,54.4,8.7,32.2,2,2,3,2.65,0,0,1,1,0,0,3,1,3418,0,55.736838,37.853991,3,Новокосинская улица,13К2,2001,2,25,False,True,True,1,True,0,0.2743873646761729,1.5627050054219755,27.2
9116,9120,3,115.2,20.3,65.0,17,3,3,2.7,2,0,0,1,0,0,4,1,8224,1,55.555184,37.554008,6,улица Поляны,5Ак1,2019,2,33,False,True,True,3,False,4,0.18125150859255978,-2.999852855852402,38.4
22315,22323,3,38.65,10.0,16.8,11,1,3,2.7,0,1,2,2,0,1,4,1,6703,1,55.52117,37.354734,11,Новые Ватутинки центральный мкр,к2/3,2022,2,16,True,True,True,3,False,1,0.3100490038822408,-2.3301222367415053,38.65
10233,10237,3,126.8,10.7,30.9,2,3,3,2.8,0,0,2,2,0,0,4,1,2434,1,55.662136,37.512559,6,улица Эльдара Рязанова,2,2019,7,17,False,True,True,0,False,4,0.09874111990699645,-2.3950771782065803,42.266666666666666
16146,16152,2,33.0,6.0,20.0,5,1,3,2.64,1,0,1,0,0,1,1,1,6010,0,55.697929,37.809542,4,Самаркандский бульвар,34К3,1967,3,5,True,False,False,3,False,0,0.23283812846444157,1.7290282067853877,33.0
10485,10489,1,76.2,10.3,44.4,12,3,1,2.64,0,1,1,0,1,1,1,1,2242,0,55.571215,37.571273,6,улица Знаменские Садки,3К5,1990,3,17,False,True,True,3,True,0,0.16361554463659184,-3.0905997445224087,25.400000000000002
22442,22450,4,56.6,15.5,18.4,4,1,3,3.2,1,0,1,0,0,1,4,1,8883,0,55.754578,37.694953000000005,4,улица Золоторожский Вал,11С9,2013,7,13,False,True,True,3,False,4,0.11705473404236098,1.3994393092931476,56.6
7815,7818,4,225.0,10.7,30.9,2,6,3,2.8,0,0,1,1,0,0,0,1,1611,0,55.738049,37.417733,7,Ельнинская улица,15к2,2013,7,12,False,True,False,3,False,4,0.16191597560601637,-1.5496039215730104,37.5
21465,21473,4,53.47,9.1,32.1,6,2,3,2.8,0,0,2,2,0,0,4,0,1321,0,55.839421,37.385349,8,Пятницкое шоссе,9,1992,3,17,False,True,False,3,False,0,0.22073071716276293,-1.0760585917663217,26.735
22975,22983,0,61.4,6.0,43.9,5,3,2,2.8,1,0,1,0,1,1,2,1,2682,0,55.607839,37.518111,6,Новоясеневский проспект,12К3,1976,3,9,False,True,False,1,True,4,0.14090894317792474,-2.6899283504784477,20.466666666666665
18820,18826,4,65.0,10.0,43.0,4,2,3,2.8,0,0,1,0,0,0,0,2,8350,0,55.755312,37.545626,0,Мантулинская улица,9к2,2019,2,20,True,True,True,0,False,4,0.0397911706042473,-1.0238652462563826,32.5
22249,22257,3,65.9,10.7,31.7,13,2,3,2.8,1,1,2,2,0,0,4,1,3823,1,55.63816,37.319763,11,15-я фаза тер.,к8,2021,2,17,False,True,True,1,False,4,0.27717493370230156,-1.9262370512196612,32.95
21593,21601,0,60.1,10.7,45.1,1,3,2,2.64,0,2,1,0,1,0,2,1,3108,0,55.851278,37.502256,1,улица Лавочкина,16К1,1968,3,9,False,True,False,3,True,0,0.13997725766362093,-0.585525041342389,20.033333333333335
16414,16420,4,103.3,10.7,30.9,20,2,3,2.8,2,0,2,2,1,0,0,1,4555,0,55.716037,37.503998,7,Минская улица,2,2017,2,39,True,True,True,0,True,0,0.07786410595756092,-1.811753243500359,51.65
19963,19970,4,64.0,10.9,34.7,5,2,1,2.8,0,1,1,0,0,1,0,2,5613,0,55.718816,37.426186,7,Рябиновая улица,3к2,2019,2,27,True,True,True,3,True,0,0.15423821159677345,-1.6734274608949615,32.0
13694,13698,4,75.0,12.0,50.0,6,3,1,3.0,1,0,1,0,0,1,2,1,9604,0,55.739808,37.501285,7,Барклая улица,7К4,2015,2,10,False,True,True,0,True,0,0.07849938279558458,-1.5046312082140196,25.0
4382,4385,4,77.6,9.0,46.0,15,3,3,2.8,1,0,1,0,0,1,2,1,2520,0,55.693597,37.577678000000006,6,проспект 60-летия Октября,19,2000,4,18,False,True,True,3,True,0,0.04106646253800562,-3.094465790160429,25.866666666666664
15231,15236,1,41.0,10.7,30.9,3,1,3,3.05,1,0,1,1,0,0,1,2,7537,0,55.748022,37.687111,4,шоссе Энтузиастов,1к1,2018,2,8,True,True,True,3,True,0,0.10833084993046847,1.4467451202141366,41.0
6981,6984,3,42.5,11.0,14.1,2,1,3,2.78,0,0,2,2,0,0,4,1,6144,1,55.879707,37.541889000000005,1,Дмитровское шоссе,107к2,2019,7,24,True,True,True,1,False,4,0.14991306667674756,-0.25437091801040773,42.5
11652,11656,4,57.7,9.9,30.9,2,2,3,2.8,0,1,2,2,1,0,0,1,8426,0,55.850368,37.578181,2,Нововладыкинский проезд,1к2,2019,7,20,True,True,True,1,True,4,0.11575898502706368,-0.012367539073905105,28.85
17856,17862,4,39.0,10.7,30.9,12,1,3,2.64,0,1,1,0,1,1,3,1,1514,0,55.577897,37.665596,5,Загорьевский проезд,5К1,1982,3,12,True,True,False,1,True,0,0.1787584194748156,2.6397939636346544,39.0
4965,4968,1,84.0,9.0,47.0,7,3,1,2.64,0,1,1,1,2,0,1,2,8574,0,55.55111,37.53755,6,Бартеневская улица,9,2001,3,14,False,True,True,3,True,0,0.18826683548817913,-2.9162706711070534,28.0
17509,17515,1,134.0,26.0,75.0,16,3,3,2.8,2,0,0,1,1,0,0,1,2885,0,55.775049,37.469692,8,проспект Маршала Жукова,41,2011,2,23,False,True,True,0,True,0,0.11712052999647997,-1.2183342144758071,44.666666666666664
11784,11788,4,39.0,6.0,44.1,9,1,3,2.8,0,1,2,2,0,1,4,1,2049,0,55.88030799999999,37.644657,2,проезд Шокальского,25,1971,3,9,False,True,False,3,False,0,0.15955057606348802,0.41990368079718826,39.0
10074,10078,1,71.5,6.3,52.3,5,4,3,2.8,0,1,1,1,1,0,4,2,4557,0,55.751021,37.717941,4,шоссе Энтузиастов,24/43,1940,7,10,False,True,False,3,False,0,0.13929753842409384,1.4527663901624686,17.875
4073,4076,1,57.2,10.7,38.2,2,3,3,2.8,0,1,2,2,0,0,1,1,2490,0,55.81815400000001,37.799149,3,Уральская улица,12/21,1968,3,9,True,True,False,3,False,0,0.23489254715814728,1.2072023786557258,19.066666666666666
21044,21051,4,38.1,10.7,30.9,14,1,3,2.74,0,0,2,2,0,0,1,1,3816,0,55.63599,37.720097,5,улица Борисовские Пруды,15к1,2004,3,17,False,True,False,3,True,0,0.17164882205206178,2.1829006532682493,38.1
870,870,3,291.46,10.7,30.9,17,4,3,2.8,0,0,2,2,0,0,4,1,6542,1,55.79748299999999,37.495096,8,улица Маршала Рыбалко,2к4,2011,2,18,False,True,True,0,True,0,0.10533320194642522,-0.9312623029704028,72.865
22986,22994,2,58.0,9.0,35.0,4,2,1,2.8,0,1,0,1,1,0,1,2,3817,0,55.685782,37.543192,6,Ленинский проспект,77к1,1958,0,9,False,True,False,3,True,0,0.06092128818345424,-2.500800402631276,29.0
12036,12040,3,56.17,10.7,28.2,13,2,3,2.95,1,1,1,1,0,0,4,1,767,1,55.699543000000006,37.462415,7,Аминьевское шоссе,4А,2022,7,30,False,True,True,0,False,4,0.12233367423287513,-1.8615921657328949,28.085
22048,22056,4,85.0,16.9,42.8,12,2,3,2.5,1,0,2,2,1,0,3,1,3889,0,55.673549,37.567743,6,Новочеремушкинская улица,44К2,2002,2,18,True,True,True,3,False,1,0.06221169052533445,-2.9496217120193493,42.5
22283,22291,3,67.3,19.7,32.3,2,2,3,2.7,0,2,2,2,0,1,4,1,6703,1,55.52117,37.354734,11,Новые Ватутинки центральный мкр,к2/3,2022,2,16,True,True,True,3,False,1,0.3100490038822408,-2.3301222367415053,33.65
21703,21711,4,69.2,10.7,44.0,12,3,3,2.64,0,0,1,1,1,1,1,1,6243,0,55.869526,37.699777000000005,2,Федоскинская улица,9К1,1972,3,14,False,True,False,3,True,0,0.18066455930480832,0.7276602210514246,23.066666666666666
2748,2749,4,140.0,10.7,30.9,3,3,3,2.8,0,0,1,1,0,0,0,1,7926,0,55.693591000000005,37.532439,7,Ломоносовский проспект,25к1,2010,2,19,True,True,True,3,True,4,0.06251842971895431,-2.2866163338637353,46.666666666666664
23076,23084,4,162.0,25.0,30.9,47,3,3,2.8,0,2,1,1,1,0,3,2,8776,0,55.723257,37.52766,7,Мосфильмовская улица,8,2011,2,53,True,True,True,0,True,0,0.05318029485201835,-1.7860848254754456,54.0
3517,3520,4,203.5,10.7,30.9,2,4,3,2.8,0,0,2,2,1,0,4,1,5718,1,55.752409,37.64039,0,улица Солянка,7,2020,5,4,True,False,False,3,False,4,0.06332783458502356,1.2860260325491382,50.875
3322,3325,4,98.2,10.7,30.9,2,2,3,3.2,0,0,2,2,0,0,4,1,7529,1,55.747287,37.622774,0,Софийская набережная,34С4,2018,2,8,True,True,True,1,True,0,0.044982350622900916,1.2852864399192214,49.1
9961,9965,4,45.8,26.7,12.4,17,1,3,2.8,1,0,2,2,0,0,4,1,5782,1,55.707426,37.934031,4,Квартал Некрасовка ЖК,к8,2020,2,23,False,True,True,1,False,4,0.35545996637131877,1.6473688277911058,45.8
20985,20992,1,73.0,10.0,44.4,1,3,1,2.64,0,1,1,1,0,0,1,2,1398,0,55.65588399999999,37.756676,4,Мячковский бульвар,9,1997,3,17,False,True,True,1,True,0,0.19377941958120887,1.9892047165769755,24.333333333333332
6501,6504,4,50.0,20.0,80.0,20,2,3,3.1,2,0,2,2,0,0,0,2,7434,0,55.858963,37.37297,8,Муравская улица,42к3,2019,2,24,True,True,True,0,True,0,0.24116982223435537,-1.0290983840334984,25.0
3312,3315,4,87.0,21.0,61.0,11,2,3,3.2,0,2,0,1,0,0,0,1,5893,0,55.770811,37.591189,0,2-я Брестская улица,6,2019,2,12,True,True,True,2,True,4,0.037999413809754995,0.30956710787970626,43.5
5933,5936,3,68.4,22.2,27.2,13,2,3,3.2,1,1,1,0,0,1,4,1,1135,1,55.751016,37.686815,4,улица Золоторожский Вал,11С20,2023,2,20,False,True,True,0,False,4,0.10844929506103919,1.419008624927375,34.2
4672,4675,0,150.4,20.0,90.0,2,3,3,3.1,3,0,1,0,0,1,3,1,9218,0,55.680859,37.530112,6,улица Крупской,1,2010,0,8,False,True,True,0,True,0,0.07307754091332803,-2.3974094855463246,50.13333333333333
